RANK,COMPANY,SYMBOL,REVENUES($M),WEBSITE
1,Walmart,WMT,482130,www.walmart.com
2,Exxon Mobil,XOM,246204,www.exxonmobil.com
3,Apple,APPL,233715,www.apple.com
4,Berkshire Hathaway,BRK.B,210821,www.berkshirehathaway.com
5,McKesson,MCK,181241,www.mckesson.com
6,UnitedHealth Group,UNH,157107,www.unitedhealthgroup.com
7,CVS Health,CVS,153290,www.cvshealth.com
8,General Motors,GM,152356,www.gm.com
9,Ford Motor,F,149558,www.ford.com
10,AT&T,T,146801,www.att.com
11,General Electric,GE,140389,www.ge.com
12,AmerisourceBergen,ABC,135962,www.amerisourcebergen.com
13,Verizon,VZ,131620,www.verizon.com
14,Chevron,CVX,131118,www.chevron.com
15,Costco,COST,116199,www.costco.com
16,Fannie Mae,FNMA,110359,www.fanniemae.com
17,Kroger,KR,109830,www.thekrogerco.com
18,Amazon.com,AMZN,107006,www.amazon.com
19,Walgreens,WAG,103444,www.walgreensbootsalliance.com
20,HP,HPQ,103355,www.hp.com
21,Cardinal Health,CAH,102531,www.cardinal.com
22,Express Scripts Holding,ESRX,101752,www.express-scripts.com
23,J.P. Morgan Chase,JPM,101006,www.jpmorganchase.com
24,Boeing,BA,96114,www.boeing.com
25,Microsoft,MSFT,93580,www.microsoft.com
26,Bank of America Corp.,BAC,93056,www.bankofamerica.com
27,Wells Fargo,WFC,90033,www.wellsfargo.com
28,Home Depot,HD,88519,www.homedepot.com
29,Citigroup,C,88275,www.citigroup.com
30,Phillips 66,PSX,87169,www.phillips66.com
31,IBM,IBM,82461,www.ibm.com
32,Valero Energy,VLO,81824,www.valero.com
33,Anthem,ANTM,79157,www.antheminc.com
34,Procter & Gamble,PG,78756,www.pg.com
35,State Farm Insurance Cos.,STFGX,75697,www.statefarm.com
36,Alphabet,GOOGL,74989,www.google.com
37,Comcast,CMCSA,74510,www.comcastcorporation.com
38,Target,TGT,73785,www.target.com
39,Johnson & Johnson,JNJ,70074,www.jnj.com
40,MetLife,MET,69951,www.metlife.com
41,Archer Daniels Midland,ADM,67702,www.adm.com
42,Marathon Petroleum,MPC,64566,www.marathonpetroleum.com
43,Freddie Mac,FMCC,63491,www.freddiemac.com
44,PepsiCo,PEP,63056,www.pepsico.com
45,United Technologies,UTX,61047,www.utc.com
46,Aetna,AET,60337,www.aetna.com
47,Lowe's,LOW,59074,www.lowes.com
48,UPS,UPS,58363,www.ups.com
49,AIG,AIG,58327,www.aig.com
50,Prudential Financial,PRU,57119,www.prudential.com
51,Intel,INTC,55355,www.intel.com
52,Humana,HUM,54289,www.humana.com
